Scenario_ID,Initial_API,Initial_Deg,True_Degradation,Volatility_Loss,Stressed_API,Stressed_Deg,SMB,AMB,AMBD,Loss_API,Delta_Deg,RMB,AMBS_Score,Method_Selected,True_Balance,Error_Static,Error_Adaptive
0,99.24835707650561,0.22850206936556502,3.844441548114734,0.3703043846197657,95.40391552839088,3.7026392328605326,99.10655476125142,99.62774821420854,0.37225178579146245,3.8444415481147303,3.4741371634949676,90.36779776762751,99.10655476125142,SMB (High Purity),99.62689116925702,0.0008570449515161727,0.5203364080056048
1,98.93086784941441,0.14120767777688245,7.262643285866073,1.5189801212356007,91.66822456354834,5.884870842407354,97.55309540595569,98.46679287462923,1.5332071253707653,7.262643285866076,5.743663164630472,79.08502371042081,79.08502371042081,RMB (High Sens),98.46460447153088,0.002188403098358549,19.379580761110063
2,99.32384426905034,0.12872301817818768,19.41698440446545,0.15989921792682804,79.90685986458489,19.38580820471681,99.2926680693017,99.839220623169,0.16077937683100174,19.416984404465452,19.25708518653862,99.17649819047051,99.2926680693017,SMB (High Purity),99.83901225420385,0.0002083689651470877,0.5463441849021535
3,99.76151492820401,0.13771039115957442,15.725362996605952,1.1908929273214177,84.03615193159806,14.672180460444109,98.70833239204217,98.80790574349871,1.1920942565012922,15.725362996605952,14.534470069284534,92.42692885640572,98.70833239204217,SMB (High Purity),98.80626018141517,0.0016455620835387208,0.09792778937300284
4,98.88292331263833,0.33314774447681716,6.010521234481881,1.3154550445570932,92.87240207815644,5.028213934401605,97.90061601255805,98.67415124330026,1.3258487566997417,6.010521234481885,4.695066189924788,78.11412699100977,78.11412699100977,RMB (High Sens),98.66968430899033,0.004466934309931503,20.555557317980558
5,98.8829315215254,0.12066487033159588,11.496864508067496,0.3654734724895169,87.3860670134579,11.252055905909575,98.63812291936748,99.63084828651782,0.36915171348218223,11.496864508067503,11.131391035577979,96.82110307351132,96.82110307351132,RMB (High Sens),99.63039781804005,0.00045046847776575305,2.809294744528728
6,99.7896064077537,0.23477074998561537,8.384359395564836,0.7456137059029861,91.40524701218885,7.8735164396474655,99.27876345183631,99.25456800922923,0.7454319907707685,8.384359395564843,7.63874568966185,91.10708796312564,99.27876345183631,SMB (High Purity),99.25281426318458,0.0017537460446561681,0.025949188651736677
7,99.38371736457646,0.40127988076569177,10.054320938379032,2.6333689128252953,89.32939642619742,7.822231906319429,97.15162833251685,97.3609570721833,2.6390429278167034,10.054320938379036,7.420952025553737,73.80858509525704,97.15162833251685,SMB (High Purity),97.35030145515174,0.010655617031559927,0.19867312263488657
8,98.76526280703253,0.21773926660615125,7.425740732118816,0.24097346622185706,91.33952207491372,7.40250653250311,98.74202860741683,99.75655065902873,0.24344934097126725,7.425740732118811,7.184767265896959,96.75488984984943,96.75488984984943,RMB (High Sens),99.75601394723905,0.0005367117896781792,3.0011240973896207
9,99.27128002179298,0.4053232308720519,5.946954861341641,0.855083914528338,93.32432516045134,5.497194177685356,98.8215193381367,99.14214179995598,0.8578582000440207,5.946954861341638,5.091870946813303,85.62148302004387,98.8215193381367,SMB (High Purity),99.13863917707053,0.0035026228854491137,0.31711983893383433
